task_id,submit_time,wait_time_secs,completion_time,execution_ms,status,error_msg
task_ce-95,2024-06-22 23:57:14.210279,21.438631,2024-06-22 23:57:45.153597,9.50468397140503,SUCCESS,
task_ce-110,2024-06-22 23:57:14.231353,21.623069,2024-06-22 23:57:44.414365,8.559937953948975,SUCCESS,
task_ce-111,2024-06-22 23:57:14.232332,21.624009,2024-06-22 23:57:46.582864,10.726523876190186,SUCCESS,
task_ce-129,2024-06-22 23:57:14.252218,25.940009,2024-06-22 23:57:46.733015,6.540782928466797,SUCCESS,
task_ce-122,2024-06-22 23:57:14.244653,25.578149,2024-06-22 23:57:46.829202,7.006393194198608,SUCCESS,
task_ce-101,2024-06-22 23:57:14.216661,19.014913,2024-06-22 23:57:46.867926,13.636352777481079,SUCCESS,
task_ce-135,2024-06-22 23:57:14.259112,27.271534,2024-06-22 23:57:47.228043,5.697396993637085,SUCCESS,
task_ce-134,2024-06-22 23:57:14.257745,27.228049,2024-06-22 23:57:47.227040,5.741245985031128,SUCCESS,
task_ce-132,2024-06-22 23:57:14.255404,26.352844,2024-06-22 23:57:47.518896,6.910645008087158,SUCCESS,
task_ce-133,2024-06-22 23:57:14.256501,30.146486,2024-06-22 23:57:48.506102,4.103116035461426,SUCCESS,
task_ce-131,2024-06-22 23:57:14.254349,27.21132,2024-06-22 23:57:48.818709,7.353035926818848,SUCCESS,
task_ce-143,2024-06-22 23:57:14.267417,31.610216,2024-06-22 23:57:49.353480,3.4758479595184326,SUCCESS,
task_ce-146,2024-06-22 23:57:14.271336,31.711579,2024-06-22 23:57:49.356272,3.3733558654785156,SUCCESS,
task_ce-112,2024-06-22 23:57:14.233318,21.626991,2024-06-22 23:57:49.906276,14.045969009399414,SUCCESS,
task_ce-113,2024-06-22 23:57:14.234401,21.641508,2024-06-22 23:57:49.901480,14.025568008422852,SUCCESS,
task_ce-93,2024-06-22 23:57:14.208192,18.200708,2024-06-22 23:57:50.281036,17.872135162353516,SUCCESS,
task_ce-136,2024-06-22 23:57:14.260238,28.853501,2024-06-22 23:57:50.582818,7.469076871871948,SUCCESS,
task_ce-105,2024-06-22 23:57:14.222394,19.047599,2024-06-22 23:57:50.400773,17.130780935287476,SUCCESS,
task_ce-106,2024-06-22 23:57:14.226093,19.060144,2024-06-22 23:57:50.705606,17.41936492919922,SUCCESS,
task_ce-147,2024-06-22 23:57:14.272549,32.0989,2024-06-22 23:57:51.753167,5.381712913513184,SUCCESS,
task_ce-167,2024-06-22 23:57:14.297610,35.999327,2024-06-22 23:57:52.114916,1.8179829120635986,SUCCESS,
task_ce-166,2024-06-22 23:57:14.296524,35.999362,2024-06-22 23:57:52.516255,2.2203691005706787,SUCCESS,
task_ce-150,2024-06-22 23:57:14.278681,32.102099,2024-06-22 23:57:52.886681,6.505904197692871,SUCCESS,
task_ce-149,2024-06-22 23:57:14.277509,32.101396,2024-06-22 23:57:52.891786,6.512875080108643,SUCCESS,
task_ce-141,2024-06-22 23:57:14.265412,28.894395,2024-06-22 23:57:52.294230,9.134421825408936,SUCCESS,
task_ce-139,2024-06-22 23:57:14.263417,28.880262,2024-06-22 23:57:52.294013,9.150329828262329,SUCCESS,
task_ce-151,2024-06-22 23:57:14.279836,32.554215,2024-06-22 23:57:53.037189,6.203131914138794,SUCCESS,
